seed,method,variant,r2,mse,ev,spearman,hr_frac,target
1,rl,counts_only,0.09836343840965533,0.34948020845252636,0.08390546345003413,0.4602016983908107,0.1724853515625,log_pc_cons
1,rl,counts_plus_lr,0.42975446732968964,0.2247343482556213,0.4291845809015048,0.5946428571428571,0.1724853515625,log_pc_cons
1,rl,countsall_plus_lr,0.42975446732968964,0.2247343482556213,0.4291845809015048,0.5946428571428571,0.1724853515625,log_pc_cons
1,lr_only,lr_only,0.41130285366047487,0.23053150065889078,0.4106064670379769,0.6031593406593405,0.0,log_pc_cons
1,rl_matched,counts_only,0.04077655218377546,2.9617011912725397,-0.2772814921453859,0.14711907743097039,0.1724853515625,pc_cons
1,rl_matched,counts_plus_lr,0.36767133583077605,1.6262491571298874,0.34520462343889313,0.4996794871794871,0.1724853515625,pc_cons
1,rl_matched,countsall_plus_lr,0.36767133583077605,1.6262491571298874,0.34520462343889313,0.4996794871794871,0.1724853515625,pc_cons
1,rl_matched,counts_only,0.026421256668634194,0.44728496016019015,-0.1951291212182522,0.08751577864513262,0.1724853515625,log_pc_cons
1,rl_matched,counts_plus_lr,0.4638291227469133,0.20943638941809578,0.46280472741155687,0.6306776556776557,0.1724853515625,log_pc_cons
1,rl_matched,countsall_plus_lr,0.4638291227469133,0.20943638941809578,0.46280472741155687,0.6306776556776557,0.1724853515625,log_pc_cons
2,no_dropping,counts_only,0.17403484485083473,5.82909301713258,0.17011781128306025,0.1932499903752101,1.0,pc_cons
2,no_dropping,counts_plus_lr,0.2810613182435891,4.80218387795676,0.2776704588958947,0.4541666666666666,1.0,pc_cons
2,no_dropping,countsall_plus_lr,0.2810613182435891,4.80218387795676,0.2776704588958947,0.4541666666666666,1.0,pc_cons
2,fixed_center,counts_only,0.0351843098871952,8.128162826765283,-0.1994648252860698,-0.20884789670846393,0.140625,pc_cons
2,fixed_center,counts_plus_lr,0.2582775602055434,5.010721786101262,0.2514512215855642,0.43319597069597066,0.140625,pc_cons
2,fixed_center,countsall_plus_lr,0.2582775602055434,5.010721786101262,0.2514512215855642,0.43319597069597066,0.140625,pc_cons
2,random,counts_only,0.003192162547457685,7.606495999133312,-0.06918460208304023,0.10524038722611218,0.140625,pc_cons
2,random,counts_plus_lr,0.2429881418341561,5.094989240230316,0.2387883823751824,0.42380952380952375,0.140625,pc_cons
2,random,countsall_plus_lr,0.2429881418341561,5.094989240230316,0.2387883823751824,0.42380952380952375,0.140625,pc_cons
2,stochastic,counts_only,0.024571388680396405,7.787529279178994,-0.14194100386055486,-0.15770516306092497,0.140625,pc_cons
2,stochastic,counts_plus_lr,0.25720155155308255,5.01684916937133,0.2505079346288176,0.4363553113553113,0.140625,pc_cons
2,stochastic,countsall_plus_lr,0.25720155155308255,5.01684916937133,0.2505079346288176,0.4363553113553113,0.140625,pc_cons
2,green_tiles,counts_only,0.02762529875515396,8.036935368935154,-0.16373425379248885,-0.16811340114083567,0.140625,pc_cons
2,green_tiles,counts_plus_lr,0.24583520828549263,5.071640930421765,0.24187636692314052,0.42522893772893766,0.140625,pc_cons
2,green_tiles,countsall_plus_lr,0.24583520828549263,5.071640930421765,0.24187636692314052,0.42522893772893766,0.140625,pc_cons
2,counts_pred,counts_only,0.0024146270659998873,7.540384556771183,-0.07649467103187235,-0.1183698061941777,0.140625,pc_cons
2,counts_pred,counts_plus_lr,0.2544860231867204,5.044094084268966,0.24786036915452614,0.4394688644688644,0.140625,pc_cons
2,counts_pred,countsall_plus_lr,0.2544860231867204,5.044094084268966,0.24786036915452614,0.4394688644688644,0.140625,pc_cons
