cid,lat,lon,urban,households,y_true_pc_cons,y_pred,out_of_fold,n_oof_splits,hr_gsd_m_per_px,subtiles_bought,subtiles_total,hr_frac,objects_acquired,objects_full_grid
294,-0.581139,30.787127,0,8,3.2795,5.2063,1,1,0.5972,5,256,0.01953,0,0
295,-0.855295,30.659582,0,12,1.7688,1.5692,1,1,0.5972,20,256,0.07812,18,39
296,-0.560572,30.678801,0,8,2.9921,3.0275,0,0,0.5972,34,256,0.13281,20,29
297,-0.295057,30.625927,0,12,1.7015,2.1232,0,0,0.5972,29,256,0.11328,13,19
298,-0.151138,30.948854,0,3,1.3778,1.5783,0,0,0.5972,96,256,0.375,110,119
299,-0.278874,30.890127,0,8,1.668,1.6108,0,0,0.5972,0,256,0.0,0,6
300,-0.724214,30.422215,0,11,1.7348,2.0728,1,1,0.5972,0,256,0.0,0,10
301,-0.871554,30.27462,1,9,7.2162,3.1198,1,1,0.5972,52,256,0.20312,104,135
302,-0.760571,30.179094,0,7,2.1446,2.2034,1,1,0.5972,31,256,0.12109,20,122
303,-0.867663,30.354115,0,9,1.1616,1.5242,0,0,0.5972,26,256,0.10156,9,34
304,-1.005568,30.387573,0,9,1.3776,2.0611,1,1,0.5972,36,256,0.14062,399,582
305,-0.770572,30.282516,0,12,1.8383,3.7841,1,1,0.5972,38,256,0.14844,5,24
306,-0.964901,29.959688,0,9,1.9682,1.5653,1,1,0.5972,0,256,0.0,0,1
307,-0.635573,29.814281,0,10,1.2647,3.3474,1,2,0.5972,22,256,0.08594,18,190
308,0.389081,30.486662,0,8,1.072,1.4764,0,0,0.5972,4,256,0.01562,5,15
309,0.146912,30.50021,0,11,1.935,2.2497,1,1,0.5972,16,256,0.0625,9,90
310,-0.105038,30.264219,0,6,1.4003,1.7269,0,0,0.5972,1,256,0.00391,0,9
311,-0.896751,29.778324,1,7,3.4569,3.405,0,0,0.5972,74,256,0.28906,415,443
312,-0.779665,29.653027,0,9,1.3037,1.4034,1,2,0.5972,0,256,0.0,0,60
313,-0.920324,29.801229,0,9,1.7231,1.3926,1,2,0.5972,0,256,0.0,0,25
314,0.599729,30.642483,1,4,7.0259,3.4445,1,1,0.5972,74,256,0.28906,515,746
315,0.41965,31.036463,0,7,1.3959,1.4672,1,2,0.5972,0,256,0.0,0,17
316,0.591024,30.47159,0,6,2.6133,1.7671,1,3,0.5972,0,256,0.0,0,71
317,0.728758,30.646589,0,8,1.6942,1.6061,1,2,0.5972,0,256,0.0,0,218
318,0.822012,30.792131,0,10,2.1387,2.1021,1,1,0.5972,1,256,0.00391,0,11
